text,label
let’s work together on this project,non_abusive
i’ll stab you,threat
i’m going to hurt you badly,threat
you are such a fool...,abusive
don’t ever come back,abusive
i like playing football,non_abusive
i’ll burn your house,threat
i am excited about the weekend,non_abusive
you are disgusting,abusive
you are talented,non_abusive
what are ur doing today,non_abusive
you are stupid...,abusive
i’ll make your life hell,threat
nobody wants ur here...,abusive
"good night, sleep well",non_abusive
i’m going to break urr bones,threat
you are stupid,abusive
i’ll smash urr head,threat
i’m coming for you,threat
i’ll destroy ur,threat
i really enjoyed our conversation!!!,non_abusive
i’ll hit you so hard!!!,threat
do you want some coffee,non_abusive
i like playing football!!!,non_abusive
i am excited about the weekend,non_abusive
shut ur mouth,abusive
ur are very kind!!!,non_abusive
everyone hates you,abusive
you are stupid,abusive
ur face makes me sick,abusive
you’re a total joke,abusive
i’ll hunt you down,threat
you disgust me,abusive
this is a beautiful day,non_abusive
"don’t sleep tonight, i’ll find ur",threat
ya don’t deserve respect,abusive
you always ruin everything,abusive
i’m going to break your bones,threat
i respect ur opinion!!,non_abusive
you are trash,abusive
let’s work together on this project,non_abusive
ur are so annoying,abusive
thanks for your support,non_abusive
everyone hates ya,abusive
please take care of yourself,non_abusive
u are very creative,non_abusive
i will kill u,threat
let’s study together,non_abusive
get lost loser,abusive
let’s play some games,non_abusive
i respect urr opinion,non_abusive
you are my best friend,non_abusive
you are trash,abusive
you are so annoying,abusive
what are you doing today,non_abusive
i appreciate your help,non_abusive
let’s watch tv together,non_abusive
i’ll choke you,threat
let’s work together on this project,non_abusive
ur are trash,abusive
everyone hates you,abusive
i’ll hunt you down,threat
nobody wants you here,abusive
go to hell,abusive
you are my best friend!!,non_abusive
i’ll destroy you,threat
i’ll hit you so hard,threat
i’ll beat you up,threat
let’s study together,non_abusive
go to hell,abusive
get lost loser...,abusive
u’re a total joke,abusive
you have a wonderful smile...,non_abusive
hello how are you,non_abusive
i’ll burn your house,threat
go to hell,abusive
you always ruin everything,abusive
get lost loser,abusive
please take care of yourself,non_abusive
i’ll punch you in the face,threat
you are trash,abusive
don’t be such a moron,abusive
i respect your opinion,non_abusive
"don’t sleep tonight, i’ll find you",threat
that’s an interesting idea,non_abusive
you are an amazing person,non_abusive
do you want some coffee,non_abusive
i’ll end you,threat
you’re worthless,abusive
i’ll destroy you...,threat
you are very creative,non_abusive
this is a beautiful day,non_abusive
your face makes me sick,abusive
you are such a fool,abusive
don’t be such a moron,abusive
i’ll hunt you down,threat
please take care of yourself,non_abusive
i’ll hit ur so hard,threat
please take care of yourself,non_abusive
this is a beautiful day,non_abusive
ur are dumb,abusive
you are weak and useless,abusive
you are my best friend,non_abusive
i am feeling happy today,non_abusive
i am learning new things,non_abusive
you are stupid,abusive
you won’t live long!!,threat
you’re worthless,abusive
i am excited about the weekend,non_abusive
i’ll hunt you down,threat
your cooking tastes amazing,non_abusive
happy birthday to you,non_abusive
i’ll stab you...,threat
i will kill ya,threat
